#############
### POWER ###
#############
	icon = "GFX_ship_part_reactor_7_NSC"
	icon_frame = 1
	power = @destroyer_power_8
	
	resources = {
		category = ship_components
		cost = { alloys = @destroyer_cost_8 }	
		upkeep = {
			energy = 0.108
			alloys = 0.0108
		}
	}
	
	prerequisites = { "tech_naquadria_power" }
	component_set = "power_core"
	size_restriction = { destroyer crisis_destroyer offspring_destroyer }
	upgrades_to = "DESTROYER_SINGULARITY_REACTOR"
	
	ai_weight = { weight = 8 }
}

utility_component_template = {
	key = "CRUISER_NAQUADRIA_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_7_NSC"
	icon_frame = 1
	power = @cruiser_power_8
	
	resources = {
		category = ship_components
		cost = { alloys = @cruiser_cost_8 }	
		upkeep = {
			energy = 3.3
			alloys = 0.33
		}
	}
	
	prerequisites = { "tech_naquadria_power" }
	component_set = "power_core"
	size_restriction = { cruiser crisis_cruiser offspring_cruiser }
	upgrades_to = "CRUISER_SINGULARITY_REACTOR"
	
	ai_weight = { weight = 8 }
}

utility_component_template = {
	key = "STRIKECRUISER_NAQUADRIA_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_7_NSC"
	icon_frame = 1
	power = @StrikeCruiser_power_8
	
	resources = {
		category = ship_components
		cost = { alloys = @StrikeCruiser_cost_8 }	
		upkeep = {
			energy = 3.85
			alloys = 0.385
		}
	}
	
	prerequisites = { "tech_naquadria_power" }
	component_set = "power_core"
	size_restriction = { StrikeCruiser }
	upgrades_to = "STRIKECRUISER_SINGULARITY_REACTOR"
	
	ai_weight = { weight = 8 }
}

utility_component_template = {
	key = "BATTLECRUISER_NAQUADRIA_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_7_NSC"
	icon_frame = 1
	power = @Battlecruiser_power_8
	
	resources = {
		category = ship_components
		cost = { alloys = @Battlecruiser_cost_8 }	
		upkeep = {
			energy = 4.4
			alloys = 0.44
		}
	}
	
	prerequisites = { "tech_naquadria_power" }
	component_set = "power_core"
	size_restriction = { Battlecruiser explorationship }
	upgrades_to = "BATTLECRUISER_SINGULARITY_REACTOR"
	
	ai_weight = { weight = 8 }
}

utility_component_template = {
	key = "BATTLESHIP_NAQUADRIA_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_7_NSC"
	icon_frame = 1
	power = @battleship_power_8
	
	resources = {
		category = ship_components
		cost = { alloys = @battleship_cost_8 }	
		upkeep = {
			energy = 6.65
			alloys = 0.665
		}
	}
	
	prerequisites = { "tech_naquadria_power" }
	component_set = "power_core"
	size_restriction = { battleship offspring_battleship }
	upgrades_to = "BATTLESHIP_SINGULARITY_REACTOR"
	
	ai_weight = { weight = 8 }
}

utility_component_template = {
	key = "DREADNOUGHT_NAQUADRIA_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_7_NSC"
	icon_frame = 1
	power = @Dreadnought_power_8
	
	resources = {
		category = ship_components
		cost = { alloys = @Dreadnought_cost_8 }	
		upkeep = {
			energy = 6.758
			alloys = 0.6758
		}
	}
	
	prerequisites = { "tech_naquadria_power" }
	component_set = "power_core"
	size_restriction = { Dreadnought Carrier }
	upgrades_to = "DREADNOUGHT_SINGULARITY_REACTOR"
	
	ai_weight = { weight = 8 }
}

utility_component_template = {
	key = "TITAN_NAQUADRIA_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_7_NSC"
	icon_frame = 1
	power = @titan_power_8
	
	resources = {
		category = ship_components
		cost = { alloys = @titan_cost_8 }	
		upkeep = {
			energy = 13.17
			alloys = 0.1317
		}
	}
	
	prerequisites = { "tech_naquadria_power" }
	component_set = "power_core"
	size_restriction = { titan }
	upgrades_to = "TITAN_SINGULARITY_REACTOR"
	
	ai_weight = { weight = 8 }
}

utility_component_template = {
	key = "PLATFORM_NAQUADRIA_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_7_NSC"
	icon_frame = 1
	power = @platform_power_8
	
	resources = {
		category = ship_components
		cost = { alloys = @platform_cost_8 }	
		upkeep = {
			energy = 0.92
			alloys = 0.092
		}
	}

	prerequisites = { "tech_naquadria_power" }
	class_restriction = { shipclass_military_station }
	size_restriction = { military_station_small }
	component_set = "power_core"
	upgrades_to = "PLATFORM_SINGULARITY_REACTOR"

	ai_weight = { weight = 8 }
}

utility_component_template = {
	key = "STATION_NAQUADRIA_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_7_NSC"
	icon_frame = 1
	power = @station_power_8
	
	resources = {
		category = ship_components
		cost = { alloys = @station_cost_8 }	
		upkeep = {
			energy = 0.97
			alloys = 0.097
		}
	}

	prerequisites = { "tech_naquadria_power" }
	class_restriction = { shipclass_military_station }
	size_restriction = { military_station_medium }
	component_set = "power_core"
	upgrades_to = "STATION_SINGULARITY_REACTOR"

	ai_weight = { weight = 10 }
}

utility_component_template = {
	key = "FORTRESS_NAQUADRIA_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_7_NSC"
	icon_frame = 1
	power = @fortress_power_8
	
	resources = {
		category = ship_components
		cost = { alloys = @fortress_cost_8 }	
		upkeep = {
			energy = 1.02
			alloys = 0.102
		}
	}

	prerequisites = { "tech_naquadria_power" }
	class_restriction = { shipclass_military_station }
	size_restriction = { military_station_large }
	component_set = "power_core"
	upgrades_to = "FORTRESS_SINGULARITY_REACTOR"

	ai_weight = { weight = 10 }
}

######################################
### SINGULARITY REACTOR COMPONENTS ###
######################################
utility_component_template = {
	key = "CORVETTE_SINGULARITY_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_8_NSC"
	icon_frame = 1
	power = @corvette_power_9
	
	resources = {
		category = ship_components
		cost = { alloys = @corvette_cost_9 }	
		upkeep = {
			energy = 0.64
			alloys = 0.064
		}
	}
	
	prerequisites = { "tech_singularity_power" }
	component_set = "power_core"
	size_restriction = { corvette frigate crisis_corvette offspring_corvette colonizer sponsored_colonizer lithoid_colonizer constructor science transport }
	upgrades_to = "CORVETTE_MULTIDIMENSIONAL_REACTOR"
	
	ai_weight = { weight = 9 }
}

utility_component_template = {
	key = "DESTROYER_SINGULARITY_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_8_NSC"
	icon_frame = 1
	power = @destroyer_power_9
	
	resources = {
		category = ship_components
		cost = { alloys = @destroyer_cost_9 }	
		upkeep = {
			energy = 0.125
			alloys = 0.0125
		}
	}
	
	prerequisites = { "tech_singularity_power" }
	component_set = "power_core"
	size_restriction = { destroyer crisis_destroyer offspring_destroyer }
	upgrades_to = "DESTROYER_MULTIDIMENSIONAL_REACTOR"
	
	ai_weight = { weight = 9 }
}

utility_component_template = {
	key = "CRUISER_SINGULARITY_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_8_NSC"
	icon_frame = 1
	power = @cruiser_power_9
	
	resources = {
		category = ship_components
		cost = { alloys = @cruiser_cost_9 }	
		upkeep = {
			energy = 4.78
			alloys = 0.478
		}
	}

	prerequisites = { "tech_singularity_power" }
	component_set = "power_core"
	size_restriction = { cruiser crisis_cruiser offspring_cruiser }
	upgrades_to = "CRUISER_MULTIDIMENSIONAL_REACTOR"
	
	ai_weight = { weight = 9 }
}

utility_component_template = {
	key = "STRIKECRUISER_SINGULARITY_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_8_NSC"
	icon_frame = 1
	power = @StrikeCruiser_power_9
	
	resources = {
		category = ship_components
		cost = { alloys = @StrikeCruiser_cost_9 }	
		upkeep = {
			energy = 5.42
			alloys = 0.542
		}
	}
	
	prerequisites = { "tech_singularity_power" }
	component_set = "power_core"
	size_restriction = { StrikeCruiser }
	upgrades_to = "STRIKECRUISER_MULTIDIMENSIONAL_REACTOR"
	
	ai_weight = { weight = 9 }
}

utility_component_template = {
	key = "BATTLECRUISER_SINGULARITY_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_8_NSC"
	icon_frame = 1
	power = @Battlecruiser_power_9
	
	resources = {
		category = ship_components
		cost = { alloys = @Battlecruiser_cost_9 }	
		upkeep = {
			energy = 6.06
			alloys = 0.606
		}
	}
	
	prerequisites = { "tech_singularity_power" }
	component_set = "power_core"
	size_restriction = { Battlecruiser explorationship }
	upgrades_to = "BATTLECRUISER_MULTIDIMENSIONAL_REACTOR"
	
	ai_weight = { weight = 9 }
}

utility_component_template = {
	key = "BATTLESHIP_SINGULARITY_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_8_NSC"
	icon_frame = 1
	power = @battleship_power_9
	
	resources = {
		category = ship_components
		cost = { alloys = @battleship_cost_9 }	
		upkeep = {
			energy = 9.63
			alloys = 0.963
		}
	}
	
	prerequisites = { "tech_singularity_power" }
	component_set = "power_core"
	size_restriction = { battleship offspring_battleship }
	upgrades_to = "BATTLESHIP_MULTIDIMENSIONAL_REACTOR"
	
	ai_weight = { weight = 9 }
}

utility_component_template = {
	key = "DREADNOUGHT_SINGULARITY_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_8_NSC"
	icon_frame = 1
	power = @Dreadnought_power_9
	
	resources = {
		category = ship_components
		cost = { alloys = @Dreadnought_cost_9 }	
		upkeep = {
			energy = 9.755
			alloys = 0.9755
		}
	}
	
	prerequisites = { "tech_singularity_power" }
	component_set = "power_core"
	size_restriction = { Dreadnought Carrier }
	upgrades_to = "DREADNOUGHT_MULTIDIMENSIONAL_REACTOR"
	
	ai_weight = { weight = 9 }
}

utility_component_template = {
	key = "TITAN_SINGULARITY_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_8_NSC"
	icon_frame = 1
	power = @titan_power_9
	
	resources = {
		category = ship_components
		cost = { alloys = @titan_cost_9 }	
		upkeep = {
			energy = 19.07
			alloys = 0.1907
		}
	}
	
	prerequisites = { "tech_singularity_power" }
	component_set = "power_core"
	size_restriction = { titan }
	upgrades_to = "TITAN_MULTIDIMENSIONAL_REACTOR"
	
	ai_weight = { weight = 9 }
}

utility_component_template = {
	key = "PLATFORM_SINGULARITY_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_8_NSC"
	icon_frame = 1
	power = @platform_power_9
	
	resources = {
		category = ship_components
		cost = { alloys = @platform_cost_9 }	
		upkeep = {
			energy = 1.01
			alloys = 0.101
		}
	}

	prerequisites = { "tech_singularity_power" }
	class_restriction = { shipclass_military_station }
	size_restriction = { military_station_small }
	component_set = "power_core"
	upgrades_to = "PLATFORM_MULTIDIMENSIONAL_REACTOR"

	ai_weight = { weight = 9 }
}

utility_component_template = {
	key = "STATION_SINGULARITY_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_8_NSC"
	icon_frame = 1
	power = @station_power_9
	
	resources = {
		category = ship_components
		cost = { alloys = @station_cost_9 }	
		upkeep = {
			energy = 1.02
			alloys = 0.102
		}
	}

	prerequisites = { "tech_singularity_power" }
	class_restriction = { shipclass_military_station }
	size_restriction = { military_station_medium }
	component_set = "power_core"
	upgrades_to = "STATION_MULTIDIMENSIONAL_REACTOR"

	ai_weight = { weight = 11 }
}

utility_component_template = {
	key = "FORTRESS_SINGULARITY_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_8_NSC"
	icon_frame = 1
	power = @fortress_power_9
	
	resources = {
		category = ship_components
		cost = { alloys = @fortress_cost_9 }	
		upkeep = {
			energy = 1.11
			alloys = 0.111
		}
	}

	prerequisites = { "tech_singularity_power" }
	class_restriction = { shipclass_military_station }
	size_restriction = { military_station_large }
	component_set = "power_core"
	upgrades_to = "FORTRESS_MULTIDIMENSIONAL_REACTOR"

	ai_weight = { weight = 11 }
}

############################################
### MULTI-DIMENSIONAL REACTOR COMPONENTS ###
############################################
utility_component_template = {
	key = "CORVETTE_MULTIDIMENSIONAL_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_9_NSC"
	icon_frame = 1
	power = @corvette_power_10
	
	resources = {
		category = ship_components
		cost = { alloys = @corvette_cost_10 }	
		upkeep = {
			energy = 0.73
			alloys = 0.073
		}
	}
	
	prerequisites = { "tech_multidimensional_power" }
	component_set = "power_core"
	size_restriction = { corvette frigate crisis_corvette offspring_corvette colonizer sponsored_colonizer lithoid_colonizer constructor science transport }
	upgrades_to = "CORVETTE_OPTIMIZED_ENIGMATIC_REACTOR"
	
	ai_weight = { weight = 10 }
}

utility_component_template = {
	key = "DESTROYER_MULTIDIMENSIONAL_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_9_NSC"
	icon_frame = 1
	power = @destroyer_power_10
	
	resources = {
		category = ship_components
		cost = { alloys = @destroyer_cost_10 }	
		upkeep = {
			energy = 0.142
			alloys = 0.0142
		}
	}
	
	prerequisites = { "tech_multidimensional_power" }
	component_set = "power_core"
	size_restriction = { destroyer crisis_destroyer offspring_destroyer }
	upgrades_to = "DESTROYER_OPTIMIZED_ENIGMATIC_REACTOR"
	
	ai_weight = { weight = 10 }
}

utility_component_template = {
	key = "CRUISER_MULTIDIMENSIONAL_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_9_NSC"
	icon_frame = 1
	power = @cruiser_power_10
	
	resources = {
		category = ship_components
		cost = { alloys = @cruiser_cost_10 }	
		upkeep = {
			energy = 6.26
			alloys = 0.626
		}
	}
	
	prerequisites = { "tech_multidimensional_power" }
	component_set = "power_core"
	size_restriction = { cruiser crisis_cruiser offspring_cruiser }
	upgrades_to = "CRUISER_OPTIMIZED_ENIGMATIC_REACTOR"
	
	ai_weight = { weight = 10 }
}

utility_component_template = {
	key = "STRIKECRUISER_MULTIDIMENSIONAL_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_9_NSC"
	icon_frame = 1
	power = @StrikeCruiser_power_10
	
	resources = {
		category = ship_components
		cost = { alloys = @StrikeCruiser_cost_10 }	
		upkeep = {
			energy = 6.99
			alloys = 0.699
		}
	}
	
	prerequisites = { "tech_multidimensional_power" }
	component_set = "power_core"
	size_restriction = { StrikeCruiser }
	upgrades_to = "STRIKECRUISER_OPTIMIZED_ENIGMATIC_REACTOR"
	
	ai_weight = { weight = 10 }
}

utility_component_template = {
	key = "BATTLECRUISER_MULTIDIMENSIONAL_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_9_NSC"
	icon_frame = 1
	power = @Battlecruiser_power_10
	
	resources = {
		category = ship_components
		cost = { alloys = @Battlecruiser_cost_10 }	
		upkeep = {
			energy = 7.72
			alloys = 0.772
		}
	}
	
	prerequisites = { "tech_multidimensional_power" }
	component_set = "power_core"
	size_restriction = { Battlecruiser explorationship }
	upgrades_to = "BATTLECRUISER_OPTIMIZED_ENIGMATIC_REACTOR"
	
	ai_weight = { weight = 10 }
}

utility_component_template = {
	key = "BATTLESHIP_MULTIDIMENSIONAL_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_9_NSC"
	icon_frame = 1
	power = @battleship_power_10
	
	resources = {
		category = ship_components
		cost = { alloys = @battleship_cost_10 }	
		upkeep = {
			energy = 12.61
			alloys = 0.1261
		}
	}
	
	prerequisites = { "tech_multidimensional_power" }
	component_set = "power_core"
	size_restriction = { battleship offspring_battleship }
	upgrades_to = "BATTLESHIP_OPTIMIZED_ENIGMATIC_REACTOR"
	
	ai_weight = { weight = 10 }
}

utility_component_template = {
	key = "DREADNOUGHT_MULTIDIMENSIONAL_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_9_NSC"
	icon_frame = 1
	power = @Dreadnought_power_10
	
	resources = {
		category = ship_components
		cost = { alloys = @Dreadnought_cost_10 }	
		upkeep = {
			energy = 12.752
			alloys = 0.12652
		}
	}
	
	prerequisites = { "tech_multidimensional_power" }
	component_set = "power_core"
	size_restriction = { Dreadnought Carrier }
	upgrades_to = "DREADNOUGHT_OPTIMIZED_ENIGMATIC_REACTOR"
	
	ai_weight = { weight = 10 }
}

utility_component_template = {
	key = "TITAN_MULTIDIMENSIONAL_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_9_NSC"
	icon_frame = 1
	power = @titan_power_10
	
	resources = {
		category = ship_components
		cost = { alloys = @titan_cost_10 }	
		upkeep = {
			energy = 24.97
			alloys = 0.2497
		}
	}
	
	prerequisites = { "tech_multidimensional_power" }
	component_set = "power_core"
	size_restriction = { titan }
	upgrades_to = "TITAN_OPTIMIZED_ENIGMATIC_REACTOR"
	
	ai_weight = { weight = 10 }
}

utility_component_template = {
	key = "PLATFORM_MULTIDIMENSIONAL_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_9_NSC"
	icon_frame = 1
	power = @platform_power_10
	
	resources = {
		category = ship_components
		cost = { alloys = @platform_cost_10 }	
		upkeep = {
			energy = 1.1
			alloys = 0.11
		}
	}

	prerequisites = { "tech_multidimensional_power" }
	class_restriction = { shipclass_military_station }
	size_restriction = { military_station_small }
	component_set = "power_core"
	upgrades_to = "PLATFORM_OPTIMIZED_ENIGMATIC_REACTOR"

	ai_weight = { weight = 10 }
}

utility_component_template = {
	key = "STATION_MULTIDIMENSIONAL_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_9_NSC"
	icon_frame = 1
	power = @station_power_10
	
	resources = {
	category = ship_components
		cost = { alloys = @station_cost_10 }	
		upkeep = {
			energy = 1.15
			alloys = 0.115
		}
	}

	prerequisites = { "tech_multidimensional_power" }
	class_restriction = { shipclass_military_station }
	size_restriction = { military_station_medium }
	component_set = "power_core"
	upgrades_to = "STATION_OPTIMIZED_ENIGMATIC_REACTOR"

	ai_weight = { weight = 12 }
}

utility_component_template = {
	key = "FORTRESS_MULTIDIMENSIONAL_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_9_NSC"
	icon_frame = 1
	power = @fortress_power_9
	
	resources = {
		category = ship_components
		cost = { alloys = @fortress_cost_9 }	
		upkeep = {
			energy = 1.2
			alloys = 0.12
		}
	}

	prerequisites = { "tech_multidimensional_power" }
	class_restriction = { shipclass_military_station }
	size_restriction = { military_station_large }
	component_set = "power_core"
	upgrades_to = "FORTRESS_OPTIMIZED_ENIGMATIC_REACTOR"

	ai_weight = { weight = 12 }
}

################################################
### OPTIMIZED DARK MATTER REACTOR COMPONENTS ###
################################################
utility_component_template = {
	key = "CORVETTE_OPTIMIZED_ENIGMATIC_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @corvette_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @corvette_cost_11
			sr_dark_matter = 1
		}	
		upkeep = {
			energy = 0.82
			alloys = 0.082
		}
	}
	
	prerequisites = { "tech_optimized_enigmatic_power" }
	component_set = "power_core"
	size_restriction = { corvette frigate crisis_corvette offspring_corvette colonizer sponsored_colonizer lithoid_colonizer constructor science transport }
	
	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "DESTROYER_OPTIMIZED_ENIGMATIC_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @destroyer_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @destroyer_cost_11
			sr_dark_matter = 2
		}	
		upkeep = {
			energy = 0.159
			alloys = 0.0159
		}
	}
	
	prerequisites = { "tech_optimized_enigmatic_power" }
	component_set = "power_core"
	size_restriction = { destroyer crisis_destroyer offspring_destroyer }
	
	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "CRUISER_OPTIMIZED_ENIGMATIC_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @cruiser_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @cruiser_cost_11
			sr_dark_matter = 3
		}	
		upkeep = {
			energy = 7.74
			alloys = 0.774
		}
	}
	
	prerequisites = { "tech_optimized_enigmatic_power" }
	component_set = "power_core"
	size_restriction = { cruiser crisis_cruiser offspring_cruiser }
	
	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "STRIKECRUISER_OPTIMIZED_ENIGMATIC_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @StrikeCruiser_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @StrikeCruiser_cost_11
			sr_dark_matter = 4
		}	
		upkeep = {
			energy = 8.56
			alloys = 0.856
		}
	}
	
	prerequisites = { "tech_optimized_enigmatic_power" }
	component_set = "power_core"
	size_restriction = { StrikeCruiser }
	
	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "BATTLECRUISER_OPTIMIZED_ENIGMATIC_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @Battlecruiser_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @Battlecruiser_cost_11
			sr_dark_matter = 5
		}	
		upkeep = {
			energy = 9.38
			alloys = 0.938
		}
	}
	
	prerequisites = { "tech_optimized_enigmatic_power" }
	component_set = "power_core"
	size_restriction = { Battlecruiser explorationship }
	
	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "BATTLESHIP_OPTIMIZED_ENIGMATIC_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @battleship_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @battleship_cost_11
			sr_dark_matter = 6
		}	
		upkeep = {
			energy = 15.59
			alloys = 0.1559
		}
	}
	
	prerequisites = { "tech_optimized_enigmatic_power" }
	component_set = "power_core"
	size_restriction = { battleship offspring_battleship }
	
	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "DREADNOUGHT_OPTIMIZED_ENIGMATIC_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @Dreadnought_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @Dreadnought_cost_11
			sr_dark_matter = 7
		}	
		upkeep = {
			energy = 15.749
			alloys = 0.15749
		}
	}
	
	prerequisites = { "tech_optimized_enigmatic_power" }
	component_set = "power_core"
	size_restriction = { Dreadnought Carrier }
	
	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "TITAN_OPTIMIZED_ENIGMATIC_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @titan_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @titan_cost_11
			sr_dark_matter = 8
		}	
		upkeep = {
			energy = 30.870
			alloys = 0.30870
		}
	}
	
	prerequisites = { "tech_optimized_enigmatic_power" }
	component_set = "power_core"
	size_restriction = { titan }
	
	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "PLATFORM_OPTIMIZED_ENIGMATIC_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @platform_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @platform_cost_10
			sr_dark_matter = 2
		}	
		upkeep = {
			energy = 1.19
			alloys = 0.119
		}
	}

	prerequisites = { "tech_optimized_enigmatic_power" }
	class_restriction = { shipclass_military_station }
	size_restriction = { military_station_small }
	component_set = "power_core"

	ai_weight = { 
		weight = 11
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "STATION_OPTIMIZED_ENIGMATIC_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @station_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @station_cost_11
			sr_dark_matter = 3
		}	
		upkeep = {
			energy = 1.24
			alloys = 0.124
		}
	}

	prerequisites = { "tech_optimized_enigmatic_power" }
	class_restriction = { shipclass_military_station }
	size_restriction = { military_station_medium }
	component_set = "power_core"

	ai_weight = { 
		weight = 13
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

utility_component_template = {
	key = "FORTRESS_OPTIMIZED_ENIGMATIC_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @fortress_power_11
	
	resources = {
		category = ship_components
		cost = {
			alloys = @fortress_cost_11
			sr_dark_matter = 4
		}	
		upkeep = {
			energy = 1.19
			alloys = 0.129
		}
	}

	prerequisites = { "tech_optimized_enigmatic_power" }
	class_restriction = { shipclass_military_station }
	size_restriction = { military_station_large }
	component_set = "power_core"

	ai_weight = { 
		weight = 13
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
	}
}

###################################
### FLAGSHIP REACTOR COMPONENTS ###
###################################
utility_component_template = {
	key = "FLAGSHIP_BLACK_HOLE_REACTOR_1"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @Flagship_power_1
	
	resources = {
		category = ship_components
		cost = { alloys = @Flagship_cost }	
		upkeep = {
			energy = 40
			alloys = 0.40
		}
	}

	size_restriction = { Flagship }
	component_set = "power_core"

	ai_weight = { weight = 10 }
}

utility_component_template = {
	key = "FLAGSHIP_BLACK_HOLE_REACTOR_2"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @Flagship_power_2
	
	resources = {
		category = ship_components
		cost = { alloys = @Flagship_cost }	
		upkeep = {
			energy = 50
			alloys = 0.50
		}
	}

	prerequisites = { "tech_bh_power_2" }
	size_restriction = { Flagship }
	component_set = "power_core"

	ai_weight = { weight = 11 }
}

utility_component_template = {
	key = "FLAGSHIP_BLACK_HOLE_REACTOR_3"
	size = small
	icon = "GFX_ship_part_reactor_11_enigmatic_NSC"
	icon_frame = 1
	power = @Flagship_power_3
	
	resources = {
		category = ship_components
		cost = { alloys = @Flagship_cost }	
		upkeep = {
			energy = 60
			alloys = 0.6
		}
	}

	prerequisites = { "tech_bh_power_3" }
	size_restriction = { Flagship }
	component_set = "power_core"

	ai_weight = { weight = 12 }
}



### Defense Station Reactors - Vanilla

utility_component_template = {
	key = "STATION_FISSION_REACTOR"
	size = large
	icon = "GFX_ship_part_reactor_1"
	icon_frame = 1
	power = @station_power_1
	resources = {
		category = ship_components
		cost = {
			alloys = @station_cost_1
		}
		upkeep = {
			energy = 0.20
			alloys = 0.02
		}
	}

	prerequisites = { "tech_fission_power" }
	class_restriction = { shipclass_military_station }
	size_restriction = {
		military_station_medium
	}
	component_set = "power_core"
	upgrades_to = "STATION_FUSION_REACTOR"

	ai_weight = {
		weight = 1
	}
}

utility_component_template = {
	key = "STATION_FUSION_REACTOR"
	size = large
	icon = "GFX_ship_part_reactor_2"
	icon_frame = 1
	power = @station_power_2
	resources = {
		category = ship_components
		cost = {
			alloys = @station_cost_2
		}
		upkeep = {
			energy = 0.26
			alloys = 0.026
		}
	}

	prerequisites = { "tech_fusion_power" }
	class_restriction = { shipclass_military_station }
	size_restriction = {
		military_station_medium
	}
	component_set = "power_core"
	upgrades_to = "STATION_COLD_FUSION_REACTOR"

	ai_weight = {
		weight = 2
	}
}

