

############
### COST ###
############

@corvette_reactor_cost_6 = 37
	component_set = "power_core"
	potential = {
		ship_uses_station_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = STATION_GRAVITON_REACTOR

	ai_weight = {
		weight = 6
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
		modifier = {
			factor = 0.0
			is_ai = yes
		}
	}
}

utility_component_template = {
	key = "FORTRESS_DARK_MATTER_REACTOR"
	size = large
	icon = "GFX_ship_part_dark_matter_power_core"
	icon_frame = 1
	power = @fortress_reactor_power_6
	resources = {
		category = ship_components
		cost = {
			alloys = @fortress_reactor_cost_6
			sr_dark_matter = 4
		}
		upkeep = {
			energy = 0.74
			alloys = 0.074
		}
	}

	prerequisites = { "tech_dark_matter_power_core" }
	component_set = "power_core"
	potential = {
		ship_uses_fortress_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = FORTRESS_GRAVITON_REACTOR

	ai_weight = {
		weight = 6
		modifier = {
			factor = 0.0
			no_resource_for_component = { RESOURCE = sr_dark_matter }
		}
		modifier = {
			factor = 0.0
			is_ai = yes
		}
	}
}

########################################################################################################################################################################
### Graviton Reactors (Level 7 NSC) ####################################################################################################################################
########################################################################################################################################################################

utility_component_template = {
	key = "CORVETTE_GRAVITON_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_6_NSC"
	icon_frame = 1
	power = @corvette_reactor_power_7
	
	resources = {
		category = ship_components
		cost = { alloys = @corvette_reactor_cost_7 }	
		upkeep = {
			energy = 0.46
			alloys = 0.046
		}
	}

	prerequisites = { "tech_graviton_power" }
	component_set = "power_core"
	potential = {
		ship_uses_corvette_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "CORVETTE_NAQUADRIA_REACTOR"

	ai_weight = { weight = 7 }
}

utility_component_template = {
	key = "DESTROYER_GRAVITON_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_6_NSC"
	icon_frame = 1
	power = @destroyer_reactor_power_7
	
	resources = {
		category = ship_components
		cost = { alloys = @destroyer_reactor_cost_7 }	
		upkeep = {
			energy = 0.91
			alloys = 0.091
		}
	}
	
	prerequisites = { "tech_graviton_power" }
	component_set = "power_core"
		potential = {
		ship_uses_destroyer_components = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "DESTROYER_NAQUADRIA_REACTOR"

	ai_weight = { weight = 7 }
}

utility_component_template = {
	key = "CRUISER_GRAVITON_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_6_NSC"
	icon_frame = 1
	power = @cruiser_reactor_power_7
	
	resources = {
		category = ship_components
		cost = { alloys = @cruiser_reactor_cost_7 }	
		upkeep = {
			energy = 1.82
			alloys = 0.182
		}
	}
	
	prerequisites = { "tech_graviton_power" }
	component_set = "power_core"
		potential = {
		ship_uses_cruiser_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "CRUISER_NAQUADRIA_REACTOR"

	ai_weight = { weight = 7 }
}

utility_component_template = {
	key = "BATTLECRUISER_GRAVITON_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_6_NSC"
	icon_frame = 1
	power = @Battlecruiser_reactor_power_7
	
	resources = {
		category = ship_components
		cost = { alloys = @Battlecruiser_reactor_cost_7 }	
		upkeep = {
			energy = 2.74
			alloys = 0.274
		}
	}
	
	prerequisites = { "tech_graviton_power" }
	component_set = "power_core"
		potential = {
		ship_uses_battlecruiser_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "BATTLECRUISER_NAQUADRIA_REACTOR"

	ai_weight = { weight = 7 }
}

utility_component_template = {
	key = "BATTLESHIP_GRAVITON_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_6_NSC"
	icon_frame = 1
	power = @battleship_reactor_power_7
	
	resources = {
		category = ship_components
		cost = { alloys = @battleship_reactor_cost_7 }	
		upkeep = {
			energy = 3.67
			alloys = 0.367
		}
	}
	
	prerequisites = { "tech_graviton_power" }
	component_set = "power_core"
		potential = {
		ship_uses_battleship_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "BATTLESHIP_NAQUADRIA_REACTOR"

	ai_weight = { weight = 7 }
}

utility_component_template = {
	key = "DREADNOUGHT_GRAVITON_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_6_NSC"
	icon_frame = 1
	power = @Dreadnought_reactor_power_7
	
	resources = {
		category = ship_components
		cost = { alloys = @Dreadnought_reactor_cost_7 }	
		upkeep = {
			energy = 4.58
			alloys = 0.458
		}
	}
	
	prerequisites = { "tech_graviton_power" }
	component_set = "power_core"
	potential = {
		ship_uses_dreadnought_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "DREADNOUGHT_NAQUADRIA_REACTOR"

	ai_weight = { weight = 7 }
}

utility_component_template = {
	key = "TITAN_GRAVITON_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_6_NSC"
	icon_frame = 1
	power = @titan_reactor_power_7
	
	resources = {
		category = ship_components
		cost = { alloys = @titan_reactor_cost_7 }	
		upkeep = {
			energy = 7.27
			alloys = 0.727
		}
	}
	
	prerequisites = { "tech_graviton_power" }
	component_set = "power_core"
		potential = {
		ship_uses_titan_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "TITAN_NAQUADRIA_REACTOR"

	ai_weight = { weight = 7 }
}

utility_component_template = {
	key = "JUGGERNAUT_GRAVITON_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_6_NSC"
	icon_frame = 1
	power = @juggernaut_reactor_power_7
	resources = {
		category = ship_components
		cost = {
			alloys = @juggernaut_reactor_cost_7
		}
		upkeep = {
			energy = 22.39
			alloys = 2.239
		}
	}

	prerequisites = { "tech_graviton_power" }
	component_set = "power_core"
		potential = {
		ship_uses_juggernaut_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "JUGGERNAUT_NAQUADRIA_REACTOR"

	ai_weight = { weight = 7 }
}

utility_component_template = {
	key = "PLATFORM_GRAVITON_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_6_NSC"
	icon_frame = 1
	power = @platform_reactor_power_7
	
	resources = {
		category = ship_components
		cost = { alloys = @platform_reactor_cost_7 }	
		upkeep = {
			energy = 0.83
			alloys = 0.083
		}
	}

	prerequisites = { "tech_graviton_power" }
	potential = {
		ship_uses_platform_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	component_set = "power_core"
	upgrades_to = "PLATFORM_NAQUADRIA_REACTOR"

	ai_weight = { weight = 7 }
}

utility_component_template = {
	key = "STATION_GRAVITON_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_6_NSC"
	icon_frame = 1
	power = @station_reactor_power_7
	
	resources = {
		category = ship_components
		cost = { alloys = @station_reactor_cost_7 }	
		upkeep = {
			energy = 0.88
			alloys = 0.088
		}
	}

	prerequisites = { "tech_graviton_power" }
	potential = {
		ship_uses_station_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	component_set = "power_core"
	upgrades_to = "STATION_NAQUADRIA_REACTOR"

	ai_weight = { weight = 9 }
}

utility_component_template = {
	key = "FORTRESS_GRAVITON_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_6_NSC"
	icon_frame = 1
	power = @fortress_reactor_power_7
	
	resources = {
		category = ship_components
		cost = { alloys = @fortress_reactor_cost_7 }	
		upkeep = {
			energy = 0.93
			alloys = 0.093
		}
	}

	prerequisites = { "tech_graviton_power" }
	potential = {
		ship_uses_fortress_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	component_set = "power_core"
	upgrades_to = "FORTRESS_NAQUADRIA_REACTOR"

	ai_weight = { weight = 9 }
}



########################################################################################################################################################################
### Naquadria Reactors (Level 8 NSC) ###################################################################################################################################
########################################################################################################################################################################

utility_component_template = {
	key = "CORVETTE_NAQUADRIA_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_7_NSC"
	icon_frame = 1
	power = @corvette_reactor_power_8
	
	resources = {
		category = ship_components
		cost = { alloys = @corvette_reactor_cost_8 }	
		upkeep = {
			energy = 0.55
			alloys = 0.055
		}
	}
	
	prerequisites = { "tech_naquadria_power" }
	component_set = "power_core"
	potential = {
		ship_uses_corvette_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "CORVETTE_SINGULARITY_REACTOR"

	ai_weight = { weight = 8 }
}

utility_component_template = {
	key = "DESTROYER_NAQUADRIA_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_7_NSC"
	icon_frame = 1
	power = @destroyer_reactor_power_8
	
	resources = {
		category = ship_components
		cost = { alloys = @destroyer_reactor_cost_8 }	
		upkeep = {
			energy = 0.108
			alloys = 0.0108
		}
	}
	
	prerequisites = { "tech_naquadria_power" }
	component_set = "power_core"
		potential = {
		ship_uses_destroyer_components = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "DESTROYER_SINGULARITY_REACTOR"

	ai_weight = { weight = 8 }
}

utility_component_template = {
	key = "CRUISER_NAQUADRIA_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_7_NSC"
	icon_frame = 1
	power = @cruiser_reactor_power_8
	
	resources = {
		category = ship_components
		cost = { alloys = @cruiser_reactor_cost_8 }	
		upkeep = {
			energy = 3.3
			alloys = 0.33
		}
	}
	
	prerequisites = { "tech_naquadria_power" }
	component_set = "power_core"
		potential = {
		ship_uses_cruiser_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "CRUISER_SINGULARITY_REACTOR"

	ai_weight = { weight = 8 }
}

utility_component_template = {
	key = "BATTLECRUISER_NAQUADRIA_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_7_NSC"
	icon_frame = 1
	power = @Battlecruiser_reactor_power_8
	
	resources = {
		category = ship_components
		cost = { alloys = @Battlecruiser_reactor_cost_8 }	
		upkeep = {
			energy = 4.4
			alloys = 0.44
		}
	}
	
	prerequisites = { "tech_naquadria_power" }
	component_set = "power_core"
		potential = {
		ship_uses_battlecruiser_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "BATTLECRUISER_SINGULARITY_REACTOR"

	ai_weight = { weight = 8 }
}

utility_component_template = {
	key = "BATTLESHIP_NAQUADRIA_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_7_NSC"
	icon_frame = 1
	power = @battleship_reactor_power_8
	
	resources = {
		category = ship_components
		cost = { alloys = @battleship_reactor_cost_8 }	
		upkeep = {
			energy = 6.65
			alloys = 0.665
		}
	}
	
	prerequisites = { "tech_naquadria_power" }
	component_set = "power_core"
		potential = {
		ship_uses_battleship_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "BATTLESHIP_SINGULARITY_REACTOR"

	ai_weight = { weight = 8 }
}

utility_component_template = {
	key = "DREADNOUGHT_NAQUADRIA_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_7_NSC"
	icon_frame = 1
	power = @Dreadnought_reactor_power_8
	
	resources = {
		category = ship_components
		cost = { alloys = @Dreadnought_reactor_cost_8 }	
		upkeep = {
			energy = 6.758
			alloys = 0.6758
		}
	}
	
	prerequisites = { "tech_naquadria_power" }
	component_set = "power_core"
		potential = {
		ship_uses_dreadnought_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "DREADNOUGHT_SINGULARITY_REACTOR"

	ai_weight = { weight = 8 }
}

utility_component_template = {
	key = "TITAN_NAQUADRIA_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_7_NSC"
	icon_frame = 1
	power = @titan_reactor_power_8
	
	resources = {
		category = ship_components
		cost = { alloys = @titan_reactor_cost_8 }	
		upkeep = {
			energy = 13.17
			alloys = 0.1317
		}
	}
	
	prerequisites = { "tech_naquadria_power" }
	component_set = "power_core"
		potential = {
		ship_uses_titan_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "TITAN_SINGULARITY_REACTOR"

	ai_weight = { weight = 8 }
}

utility_component_template = {
	key = "JUGGERNAUT_NAQUADRIA_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_7_NSC"
	icon_frame = 1
	power = @juggernaut_reactor_power_8
	resources = {
		category = ship_components
		cost = {
			alloys = @juggernaut_reactor_cost_8
		}
		upkeep = {
			energy = 25.39
			alloys = 2.539
		}
	}

	prerequisites = { "tech_naquadria_power" }
	component_set = "power_core"
		potential = {
		ship_uses_juggernaut_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "JUGGERNAUT_SINGULARITY_REACTOR"

	ai_weight = { weight = 8 }
}

utility_component_template = {
	key = "PLATFORM_NAQUADRIA_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_7_NSC"
	icon_frame = 1
	power = @platform_reactor_power_8
	
	resources = {
		category = ship_components
		cost = { alloys = @platform_reactor_cost_8 }	
		upkeep = {
			energy = 0.92
			alloys = 0.092
		}
	}

	prerequisites = { "tech_naquadria_power" }
	potential = {
		ship_uses_platform_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	component_set = "power_core"
	upgrades_to = "PLATFORM_SINGULARITY_REACTOR"

	ai_weight = { weight = 8 }
}

utility_component_template = {
	key = "STATION_NAQUADRIA_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_7_NSC"
	icon_frame = 1
	power = @station_reactor_power_8
	
	resources = {
		category = ship_components
		cost = { alloys = @station_reactor_cost_8 }	
		upkeep = {
			energy = 0.97
			alloys = 0.097
		}
	}

	prerequisites = { "tech_naquadria_power" }
	potential = {
		ship_uses_station_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	component_set = "power_core"
	upgrades_to = "STATION_SINGULARITY_REACTOR"

	ai_weight = { weight = 10 }
}

utility_component_template = {
	key = "FORTRESS_NAQUADRIA_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_7_NSC"
	icon_frame = 1
	power = @fortress_reactor_power_8
	
	resources = {
		category = ship_components
		cost = { alloys = @fortress_reactor_cost_8 }	
		upkeep = {
			energy = 1.02
			alloys = 0.102
		}
	}

	prerequisites = { "tech_naquadria_power" }
	potential = {
		ship_uses_fortress_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	component_set = "power_core"
	upgrades_to = "FORTRESS_SINGULARITY_REACTOR"

	ai_weight = { weight = 10 }
}



########################################################################################################################################################################
### Singularity Reactors (Level 9 NSC) #################################################################################################################################
########################################################################################################################################################################

utility_component_template = {
	key = "CORVETTE_SINGULARITY_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_8_NSC"
	icon_frame = 1
	power = @corvette_reactor_power_9
	
	resources = {
		category = ship_components
		cost = { alloys = @corvette_reactor_cost_9 }	
		upkeep = {
			energy = 0.64
			alloys = 0.064
		}
	}
	
	prerequisites = { "tech_singularity_power" }
	component_set = "power_core"
	potential = {
		ship_uses_corvette_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "CORVETTE_MULTIDIMENSIONAL_REACTOR"

	ai_weight = { weight = 9 }
}

utility_component_template = {
	key = "DESTROYER_SINGULARITY_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_8_NSC"
	icon_frame = 1
	power = @destroyer_reactor_power_9
	
	resources = {
		category = ship_components
		cost = { alloys = @destroyer_reactor_cost_9 }	
		upkeep = {
			energy = 0.125
			alloys = 0.0125
		}
	}
	
	prerequisites = { "tech_singularity_power" }
	component_set = "power_core"
		potential = {
		ship_uses_destroyer_components = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "DESTROYER_MULTIDIMENSIONAL_REACTOR"

	ai_weight = { weight = 9 }
}

utility_component_template = {
	key = "CRUISER_SINGULARITY_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_8_NSC"
	icon_frame = 1
	power = @cruiser_reactor_power_9
	
	resources = {
		category = ship_components
		cost = { alloys = @cruiser_reactor_cost_9 }	
		upkeep = {
			energy = 4.78
			alloys = 0.478
		}
	}

	prerequisites = { "tech_singularity_power" }
	component_set = "power_core"
		potential = {
		ship_uses_cruiser_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "CRUISER_MULTIDIMENSIONAL_REACTOR"

	ai_weight = { weight = 9 }
}

utility_component_template = {
	key = "BATTLECRUISER_SINGULARITY_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_8_NSC"
	icon_frame = 1
	power = @Battlecruiser_reactor_power_9
	
	resources = {
		category = ship_components
		cost = { alloys = @Battlecruiser_reactor_cost_9 }	
		upkeep = {
			energy = 6.06
			alloys = 0.606
		}
	}
	
	prerequisites = { "tech_singularity_power" }
	component_set = "power_core"
		potential = {
		ship_uses_battlecruiser_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "BATTLECRUISER_MULTIDIMENSIONAL_REACTOR"

	ai_weight = { weight = 9 }
}

utility_component_template = {
	key = "BATTLESHIP_SINGULARITY_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_8_NSC"
	icon_frame = 1
	power = @battleship_reactor_power_9
	
	resources = {
		category = ship_components
		cost = { alloys = @battleship_reactor_cost_9 }	
		upkeep = {
			energy = 9.63
			alloys = 0.963
		}
	}
	
	prerequisites = { "tech_singularity_power" }
	component_set = "power_core"
		potential = {
		ship_uses_battleship_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "BATTLESHIP_MULTIDIMENSIONAL_REACTOR"

	ai_weight = { weight = 9 }
}

utility_component_template = {
	key = "DREADNOUGHT_SINGULARITY_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_8_NSC"
	icon_frame = 1
	power = @Dreadnought_reactor_power_9
	
	resources = {
		category = ship_components
		cost = { alloys = @Dreadnought_reactor_cost_9 }	
		upkeep = {
			energy = 9.755
			alloys = 0.9755
		}
	}
	
	prerequisites = { "tech_singularity_power" }
	component_set = "power_core"
		potential = {
		ship_uses_dreadnought_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "DREADNOUGHT_MULTIDIMENSIONAL_REACTOR"

	ai_weight = { weight = 9 }
}

utility_component_template = {
	key = "TITAN_SINGULARITY_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_8_NSC"
	icon_frame = 1
	power = @titan_reactor_power_9
	
	resources = {
		category = ship_components
		cost = { alloys = @titan_reactor_cost_9 }	
		upkeep = {
			energy = 19.07
			alloys = 0.1907
		}
	}
	
	prerequisites = { "tech_singularity_power" }
	component_set = "power_core"
		potential = {
		ship_uses_titan_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "TITAN_MULTIDIMENSIONAL_REACTOR"

	ai_weight = { weight = 9 }
}

utility_component_template = {
	key = "JUGGERNAUT_SINGULARITY_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_8_NSC"
	icon_frame = 1
	power = @juggernaut_reactor_power_9
	resources = {
		category = ship_components
		cost = {
			alloys = @juggernaut_reactor_cost_9
		}
		upkeep = {
			energy = 28.39
			alloys = 2.839
		}
	}

	prerequisites = { "tech_singularity_power" }
	component_set = "power_core"
		potential = {
		ship_uses_juggernaut_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "JUGGERNAUT_MULTIDIMENSIONAL_REACTOR"

	ai_weight = { weight = 8 }
}

utility_component_template = {
	key = "PLATFORM_SINGULARITY_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_8_NSC"
	icon_frame = 1
	power = @platform_reactor_power_9
	
	resources = {
		category = ship_components
		cost = { alloys = @platform_reactor_cost_9 }	
		upkeep = {
			energy = 1.01
			alloys = 0.101
		}
	}

	prerequisites = { "tech_singularity_power" }
	potential = {
		ship_uses_platform_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	component_set = "power_core"
	upgrades_to = "PLATFORM_MULTIDIMENSIONAL_REACTOR"

	ai_weight = { weight = 9 }
}

utility_component_template = {
	key = "STATION_SINGULARITY_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_8_NSC"
	icon_frame = 1
	power = @station_reactor_power_9
	
	resources = {
		category = ship_components
		cost = { alloys = @station_reactor_cost_9 }	
		upkeep = {
			energy = 1.02
			alloys = 0.102
		}
	}

	prerequisites = { "tech_singularity_power" }
	potential = {
		ship_uses_station_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	component_set = "power_core"
	upgrades_to = "STATION_MULTIDIMENSIONAL_REACTOR"

	ai_weight = { weight = 11 }
}

utility_component_template = {
	key = "FORTRESS_SINGULARITY_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_8_NSC"
	icon_frame = 1
	power = @fortress_reactor_power_9
	
	resources = {
		category = ship_components
		cost = { alloys = @fortress_reactor_cost_9 }	
		upkeep = {
			energy = 1.11
			alloys = 0.111
		}
	}

	prerequisites = { "tech_singularity_power" }
	potential = {
		ship_uses_fortress_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	component_set = "power_core"
	upgrades_to = "FORTRESS_MULTIDIMENSIONAL_REACTOR"

	ai_weight = { weight = 11 }
}



########################################################################################################################################################################
### Multi-Dimensional Reactors (Level 10 NSC) ##########################################################################################################################
########################################################################################################################################################################

utility_component_template = {
	key = "CORVETTE_MULTIDIMENSIONAL_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_9_NSC"
	icon_frame = 1
	power = @corvette_reactor_power_10
	
	resources = {
		category = ship_components
		cost = { alloys = @corvette_reactor_cost_10 }	
		upkeep = {
			energy = 0.73
			alloys = 0.073
		}
	}
	
	prerequisites = { "tech_multidimensional_power" }
	component_set = "power_core"
	potential = {
		ship_uses_corvette_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "CORVETTE_OPTIMIZED_ENIGMATIC_REACTOR"

	ai_weight = { weight = 10 }
}

utility_component_template = {
	key = "DESTROYER_MULTIDIMENSIONAL_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_9_NSC"
	icon_frame = 1
	power = @destroyer_reactor_power_10
	
	resources = {
		category = ship_components
		cost = { alloys = @destroyer_reactor_cost_10 }	
		upkeep = {
			energy = 0.142
			alloys = 0.0142
		}
	}
	
	prerequisites = { "tech_multidimensional_power" }
	component_set = "power_core"
		potential = {
		ship_uses_destroyer_components = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "DESTROYER_OPTIMIZED_ENIGMATIC_REACTOR"

	ai_weight = { weight = 10 }
}

utility_component_template = {
	key = "CRUISER_MULTIDIMENSIONAL_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_9_NSC"
	icon_frame = 1
	power = @cruiser_reactor_power_10
	
	resources = {
		category = ship_components
		cost = { alloys = @cruiser_reactor_cost_10 }	
		upkeep = {
			energy = 6.26
			alloys = 0.626
		}
	}
	
	prerequisites = { "tech_multidimensional_power" }
	component_set = "power_core"
		potential = {
		ship_uses_cruiser_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "CRUISER_OPTIMIZED_ENIGMATIC_REACTOR"

	ai_weight = { weight = 10 }
}

utility_component_template = {
	key = "BATTLECRUISER_MULTIDIMENSIONAL_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_9_NSC"
	icon_frame = 1
	power = @Battlecruiser_reactor_power_10
	
	resources = {
		category = ship_components
		cost = { alloys = @Battlecruiser_reactor_cost_10 }	
		upkeep = {
			energy = 7.72
			alloys = 0.772
		}
	}
	
	prerequisites = { "tech_multidimensional_power" }
	component_set = "power_core"
		potential = {
		ship_uses_battlecruiser_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "BATTLECRUISER_OPTIMIZED_ENIGMATIC_REACTOR"

	ai_weight = { weight = 10 }
}

utility_component_template = {
	key = "BATTLESHIP_MULTIDIMENSIONAL_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_9_NSC"
	icon_frame = 1
	power = @battleship_reactor_power_10
	
	resources = {
		category = ship_components
		cost = { alloys = @battleship_reactor_cost_10 }	
		upkeep = {
			energy = 12.61
			alloys = 0.1261
		}
	}
	
	prerequisites = { "tech_multidimensional_power" }
	component_set = "power_core"
		potential = {
		ship_uses_battleship_reactors = yes
		from = {
			country_uses_bio_ships = no
		}
	}

	show_tech_unlock_if = {
		country_uses_bio_ships = no
	}
	upgrades_to = "BATTLESHIP_OPTIMIZED_ENIGMATIC_REACTOR"

	ai_weight = { weight = 10 }
}

utility_component_template = {
	key = "DREADNOUGHT_MULTIDIMENSIONAL_REACTOR"
	size = small
	icon = "GFX_ship_part_reactor_9_NSC"
	icon_frame = 1
	power = @Dreadnought_reactor_power_10
	
	resources = {
		category = ship_components
		cost = { alloys = @Dreadnought_reactor_cost_10 }	
		upkeep = {
			energy = 12.752
			alloys = 0.12652
		}
	}
	
	prerequisites = { "tech_multidimensional_power" }
	component_set = "power_core"
		potential = {
		ship_uses_dreadnought_reactors = yes
		from = {
